Date,Open,High,Low,Close,Volume_base,Volume_quote
2022-04-08 23:30:00,56816.15,56904.75,56693.92,56730.0,1.4441,82047.1555494
2022-04-08 23:45:00,56728.34,56880.49,56675.6,56712.37,1.87683,106502.7840578
2022-04-09 00:00:00,56713.85,56961.55,56711.72,56885.3,2.48545,141182.7708904
2022-04-09 00:15:00,56837.69,57054.01,56837.69,57041.25,1.47989,84320.3446262
2022-04-09 00:30:00,57023.39,57023.39,56750.0,56958.34,2.39197,136110.0264245
2022-04-09 00:45:00,56958.99,57002.91,56923.22,56947.58,0.62557,35632.8820465
2022-04-09 01:00:00,56945.67,57088.24,56875.13,57088.24,1.78182,101528.4502055
2022-04-09 01:15:00,57041.1,57094.55,56923.4,57022.18,2.90199,165535.7152145
2022-04-09 01:30:00,56967.79,57074.1,56931.96,56976.55,1.55389,88601.8349882
2022-04-09 01:45:00,57006.9,57064.09,56919.82,56948.52,2.06051,117467.3305519
2022-04-09 02:00:00,56949.4,57077.74,56922.93,57077.38,0.66745,38016.9553238
2022-04-09 02:15:00,57063.1,57091.43,56949.06,56976.64,0.35186,20063.6481877
2022-04-09 02:30:00,56981.62,57030.53,56874.89,56993.59,0.87262,49683.9335111
2022-04-09 02:45:00,56961.17,56962.49,56800.0,56897.93,1.19314,67851.0810094
2022-04-09 03:00:00,56902.27,56949.33,56766.0,56777.71,0.73267,41668.6334001
2022-04-09 03:15:00,56777.71,57031.12,56675.32,57028.59,1.43168,81354.2203917
2022-04-09 03:30:00,57020.62,57021.17,56842.61,56928.82,0.75654,43060.5264366
2022-04-09 03:45:00,56950.67,57045.97,56947.0,56961.65,0.95688,54521.9793357
2022-04-09 04:00:00,56935.29,57110.05,56935.25,56987.18,1.23724,70555.0914173
2022-04-09 04:15:00,57013.89,57038.46,56941.51,57018.88,1.4241,81158.4383677
2022-04-09 04:30:00,57007.98,57125.52,56999.39,57087.76,0.98117,56003.0617111
2022-04-09 04:45:00,57097.82,57171.51,57083.68,57171.51,0.91719,52392.4463182
2022-04-09 05:00:00,57212.12,57212.12,57062.81,57062.81,1.34149,76644.8618664
2022-04-09 05:15:00,57075.07,57194.24,57033.35,57194.24,0.56965,32536.2525666
