,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,33.62153244018555,860.0800170898438,61.14326095581055,60.50199890136719,35.61000061035156,860.0800170898438,65.5,60.50199890136719,35.72999954223633,863.9299926757812,65.75,61.83000183105469,35.290000915527344,857.5,65.13999938964844,60.04600143432617,35.30500030517578,859.739990234375,65.45999908447266,61.301998138427734,93278400,1188800,22299500,30747000
2017-04-21,33.5814094543457,858.9500122070312,61.98338317871094,61.119998931884766,35.567501068115234,858.9500122070312,66.4000015258789,61.119998931884766,35.66999816894531,862.4400024414062,66.69999694824219,61.279998779296875,35.462501525878906,857.72998046875,65.44999694824219,60.08399963378906,35.61000061035156,860.6199951171875,65.66999816894531,60.400001525878906,69283600,1172900,32522600,22549000
2017-04-24,33.904781341552734,878.9299926757812,63.038230895996094,61.60599899291992,35.90999984741211,878.9299926757812,67.52999877929688,61.60599899291992,35.98749923706055,879.9600219726562,67.66000366210938,62.11000061035156,35.79499816894531,866.1099853515625,67.0999984741211,61.20399856567383,35.875,868.4400024414062,67.4800033569336,61.84400177001953,68537200,1696500,29770000,25417500
2017-04-25,34.1148567199707,888.8400268554688,63.40228271484375,62.757999420166016,36.13249969482422,888.8400268554688,67.91999816894531,62.757999420166016,36.224998474121094,892.25,68.04000091552734,62.79600143432617,35.967498779296875,879.280029296875,67.5999984741211,61.172000885009766,35.977500915527344,882.260009765625,67.9000015258789,61.599998474121094,75486000,2038000,30242700,33688500
2017-04-26,33.91423034667969,889.1400146484375,63.31826400756836,62.034000396728516,35.91999816894531,889.1400146484375,67.83000183105469,62.034000396728516,36.150001525878906,892.989990234375,68.30999755859375,62.900001525878906,35.845001220703125,885.1500244140625,67.62000274658203,61.79999923706055,36.11750030517578,891.3900146484375,68.08000183105469,62.4739990234375,80164800,1323300,26190800,23475000
2017-04-27,33.940189361572266,891.4400024414062,63.729000091552734,61.72600173950195,35.9474983215332,891.4400024414062,68.2699966430664,61.72600173950195,36.040000915527344,893.3800048828125,68.37999725341797,62.61800003051758,35.82749938964844,887.1799926757812,67.58000183105469,61.5,35.97999954223633,890.0,68.1500015258789,62.3380012512207,56985200,2342300,34971000,17343000
2017-04-28,33.90714645385742,924.52001953125,63.906368255615234,62.81399917602539,35.912498474121094,924.52001953125,68.45999908447266,62.81399917602539,36.07500076293945,935.9000244140625,69.13999938964844,62.959999084472656,35.817501068115234,923.219970703125,67.69000244140625,61.599998474121094,36.022499084472656,929.0,68.91000366210938,61.965999603271484,83441600,3845900,39548800,22527500
2017-05-01,34.59873580932617,932.8200073242188,64.79318237304688,64.56600189208984,36.64500045776367,932.8200073242188,69.41000366210938,64.56600189208984,36.79999923706055,935.8200073242188,69.55000305175781,65.44999694824219,36.2400016784668,920.7999877929688,68.5,62.96200180053711,36.275001525878906,924.1500244140625,68.68000030517578,62.97600173950195,134411600,2327800,31954400,44148000
2017-05-02,34.81825256347656,937.0900268554688,64.69049835205078,63.77799987792969,36.877498626708984,937.0900268554688,69.30000305175781,63.77799987792969,37.022499084472656,942.989990234375,69.70999908447266,65.53199768066406,36.709999084472656,931.0,69.12999725341797,63.3120002746582,36.8849983215332,933.27001953125,69.70999908447266,64.80000305175781,181408800,1751300,23906100,26914000
2017-05-03,34.7120361328125,948.4500122070312,64.48512268066406,62.20399856567383,36.76499938964844,948.4500122070312,69.08000183105469,62.20399856567383,36.872501373291016,950.2000122070312,69.37999725341797,64.30599975585938,36.067501068115234,935.2100219726562,68.70999908447266,62.09000015258789,36.397499084472656,936.0499877929688,69.37999725341797,63.534000396728516,182788000,1824800,28928000,35667000
2017-05-04,34.586936950683594,954.719970703125,64.23308563232422,59.09199905395508,36.63249969482422,954.719970703125,68.80999755859375,59.09199905395508,36.78499984741211,959.1400146484375,69.08000183105469,61.55400085449219,36.45249938964844,947.3699951171875,68.63999938964844,58.152000427246094,36.630001068115234,950.2899780273438,69.02999877929688,61.487998962402344,93487600,1937600,21749400,70760000
2017-05-05,35.16051483154297,950.280029296875,64.41044616699219,61.66999816894531,37.2400016784668,950.280029296875,69.0,61.66999816894531,37.244998931884766,958.4400024414062,69.02999877929688,61.709999084472656,36.689998626708984,948.0999755859375,68.48999786376953,59.36000061035156,36.689998626708984,956.719970703125,68.9000015258789,59.599998474121094,109310800,1615500,19128800,40886500
2017-05-08,36.116477966308594,958.6900024414062,64.35444641113281,61.4379997253418,38.252498626708984,958.6900024414062,68.94000244140625,61.4379997253418,38.42499923706055,960.989990234375,69.05000305175781,62.757999420166016,37.25749969482422,947.4000244140625,68.41999816894531,61.16400146484375,37.25749969482422,947.4500122070312,68.97000122070312,62.18000030517578,195009600,1876700,18566100,35032500
2017-05-09,36.34779739379883,956.7100219726562,64.4477767944336,64.25199890136719,38.497501373291016,956.7100219726562,69.04000091552734,64.25199890136719,38.720001220703125,962.2000122070312,69.27999877929688,64.39800262451172,38.36249923706055,954.4000244140625,68.68000030517578,61.81999969482422,38.467498779296875,961.3300170898438,68.86000061035156,61.875999450683594,156521600,1687900,22858400,48382500
2017-05-10,36.17548370361328,954.8400268554688,64.6998291015625,65.04399871826172,38.314998626708984,954.8400268554688,69.30999755859375,65.04399871826172,38.48500061035156,956.7100219726562,69.55999755859375,65.0999984741211,38.02750015258789,949.8400268554688,68.91999816894531,63.624000549316406,38.407501220703125,956.219970703125,68.98999786376953,64.31199645996094,103222800,1146000,17977800,28708000
2017-05-11,36.48834991455078,955.8900146484375,63.906368255615234,64.62000274658203,38.48749923706055,955.8900146484375,68.45999908447266,64.62000274658203,38.51750183105469,957.989990234375,68.7300033569336,65.19999694824219,38.07749938964844,948.6099853515625,68.12000274658203,63.91999816894531,38.11249923706055,951.2899780273438,68.36000061035156,64.68000030517578,109020400,1031100,28789400,23769000
