Date,Open,High,Low,Close,Volume_base,Volume_quote
2022-04-04 01:00:00,61558.56,61607.89,61302.73,61332.37,2.75518,169247.6661384
2022-04-04 01:15:00,61346.33,61481.25,61209.25,61464.28,2.1413,131380.7945799
2022-04-04 01:30:00,61481.24,61572.55,61230.93,61298.2,1.59682,97971.2539681
2022-04-04 01:45:00,61308.81,61344.51,61136.95,61205.77,3.59821,220564.2031212
2022-04-04 02:00:00,61197.22,61326.97,61197.22,61231.02,2.16969,132971.4709542
2022-04-04 02:15:00,61221.82,61290.7,61113.21,61221.61,2.76435,169111.9373332
2022-04-04 02:30:00,61211.15,61334.6,61202.85,61295.14,2.5586,156850.2942367
2022-04-04 02:45:00,61335.42,61362.01,61252.54,61343.77,1.92069,117721.0417329
2022-04-04 03:00:00,61339.26,61468.46,61287.97,61406.28,3.46488,212692.0809015
2022-04-04 03:15:00,61403.7,61568.63,61351.32,61526.23,1.51524,93120.3443108
2022-04-04 03:30:00,61553.43,61553.43,61478.9,61523.83,2.53538,155977.3513594
2022-04-04 03:45:00,61521.86,61533.74,61444.58,61463.82,3.68666,226706.5920722
2022-04-04 04:00:00,61469.95,61507.54,61330.79,61330.79,3.81289,234279.4315306
2022-04-04 04:15:00,61334.94,61381.24,61112.87,61311.45,9.50766,582017.9428816
2022-04-04 04:30:00,61292.17,61447.56,61267.02,61438.07,1.87635,115118.5904784
2022-04-04 04:45:00,61410.27,61526.7,61402.57,61510.53,1.84672,113520.2359946
2022-04-04 05:00:00,61516.75,61527.56,61426.19,61428.09,3.53906,217569.5213946
2022-04-04 05:15:00,61460.07,61600.0,61402.2,61600.0,1.27306,78263.6860292
2022-04-04 05:30:00,61611.81,61638.07,61549.45,61579.0,8.2543,508429.4689098
2022-04-04 05:45:00,61575.25,61634.74,61561.2,61569.16,3.15028,194050.5800377
2022-04-04 06:00:00,61570.97,61627.2,61546.48,61614.84,2.47818,152627.5256228
2022-04-04 06:15:00,61599.05,61647.49,61463.39,61463.39,9.04797,557038.5382043
2022-04-04 06:30:00,61463.39,61519.03,61444.05,61507.85,1.59438,97994.2381622
2022-04-04 06:45:00,61503.82,61562.65,61473.83,61562.54,3.58869,220737.6871665
2022-04-04 07:00:00,61562.54,61632.23,61493.1,61498.31,2.03173,125015.9976531
2022-04-04 07:15:00,61526.08,61543.79,61369.43,61433.14,2.71873,167065.4255248
2022-04-04 07:30:00,61452.39,61480.6,61379.21,61465.39,3.12083,191664.6507135
2022-04-04 07:45:00,61471.88,61499.12,61397.23,61475.73,2.95767,181778.0631727
2022-04-04 08:00:00,61488.04,61526.18,61388.88,61472.2,3.40268,209122.1064216
2022-04-04 08:15:00,61480.09,61482.32,61361.93,61402.64,1.8838,115704.5871967
2022-04-04 08:30:00,61402.64,61526.03,61402.22,61514.68,2.41579,148512.9678839
2022-04-04 08:45:00,61516.02,61662.34,61377.37,61377.78,7.39808,455206.3315653
2022-04-04 09:00:00,61396.36,61546.76,61295.59,61488.2,5.13513,315361.1950686
2022-04-04 09:15:00,61491.29,61491.29,61259.09,61324.48,6.02681,369570.2692904
2022-04-04 09:30:00,61335.18,61423.55,61216.85,61423.55,4.65451,285367.6374378
2022-04-04 09:45:00,61419.2,61451.77,61372.6,61402.23,3.17964,195275.5523531
2022-04-04 10:00:00,61374.05,61374.05,61150.0,61178.49,5.18096,317295.3330531
2022-04-04 10:15:00,61161.97,61212.14,61051.24,61191.48,4.91147,300247.8168707
2022-04-04 10:30:00,61180.94,61280.31,61137.04,61205.17,3.05916,187276.6995285
2022-04-04 10:45:00,61193.41,61193.41,61039.51,61179.76,3.14094,192029.6006497
2022-04-04 11:00:00,61139.35,61440.05,61139.35,61360.77,5.58874,342651.6116065
2022-04-04 11:15:00,61356.28,61572.13,61298.48,61572.13,4.57188,280735.5907071
2022-04-04 11:30:00,61565.67,61567.58,61486.92,61527.28,3.61721,222524.96689
2022-04-04 11:45:00,61524.19,61524.19,61427.6,61439.91,2.13984,131500.0785737
2022-04-04 12:00:00,61440.27,61519.6,61426.19,61502.08,2.95159,181490.6959555
2022-04-04 12:15:00,61490.24,61605.39,61449.29,61564.18,3.23017,198802.0949908
2022-04-04 12:30:00,61574.04,61641.67,61507.27,61539.83,2.39364,147387.6455537
2022-04-04 12:45:00,61549.09,61549.09,61317.69,61317.69,3.27968,201434.8044332
2022-04-04 13:00:00,61313.76,61313.76,61200.1,61287.81,2.417,148066.2403713
2022-04-04 13:15:00,61305.8,61394.07,61257.36,61377.8,3.82177,234374.9605192
2022-04-04 13:30:00,61377.43,61399.5,61262.46,61283.03,2.22698,136598.404258
2022-04-04 13:45:00,61302.54,61611.56,61142.1,61493.2,2.46799,151561.2682367
2022-04-04 14:00:00,61501.75,61580.37,61377.23,61519.31,3.24308,199365.5678652
2022-04-04 14:15:00,61505.68,61723.04,61435.26,61545.84,4.39297,270551.0531274
2022-04-04 14:30:00,61503.53,61517.15,61404.16,61448.72,1.35589,83367.42296
2022-04-04 14:45:00,61460.16,61474.72,61157.89,61166.56,3.42434,210014.7791786
2022-04-04 15:00:00,61186.09,61200.36,60921.27,60931.37,4.94004,301576.6174316
2022-04-04 15:15:00,61013.84,61017.41,60459.89,60550.0,9.18762,557006.6295832
2022-04-04 15:30:00,60532.27,60621.27,60459.97,60529.69,2.17135,131431.2095572
2022-04-04 15:45:00,60535.14,60607.2,60498.26,60536.61,1.40102,84832.1898266
2022-04-04 16:00:00,60519.11,60655.4,60502.84,60540.52,3.61314,218866.7299418
2022-04-04 16:15:00,60550.29,60702.91,60472.11,60695.61,0.66405,40241.264758
2022-04-04 16:30:00,60682.54,60754.6,60677.9,60703.38,1.02814,62422.9486278
2022-04-04 16:45:00,60706.41,60741.97,60573.47,60664.72,1.81363,110009.5234672
2022-04-04 17:00:00,60643.77,60808.1,60642.06,60697.74,0.68601,41678.0470673
2022-04-04 17:15:00,60697.74,60754.97,60683.22,60752.02,1.50042,91108.5893628
2022-04-04 17:30:00,60752.02,60787.85,60668.6,60755.99,3.09128,187797.935797
2022-04-04 17:45:00,60710.41,60720.26,60082.19,60177.7,10.69579,644560.3225167
2022-04-04 18:00:00,60161.27,60290.76,60103.0,60205.33,4.99009,300451.8961871
